"Date","Time","Text","Retweets","Replies","Potential Impressions","Link"
"2012 Apr 15 12:00:00 AM","5:08 PM","Cook County and South Suburban College Sponsor Prescription Drug Take-back in Tomorrow in South Holland. Click: http://blog.cookcountygov.com/2012/04/13/environmental-control-and-south-suburban-college-sponsor-prescription-drug-take-back-in-south-holland/","2","1","16,263","http://twitter.com/ToniPreckwinkle/status/191679405108637696"
"2012 Apr 15 12:00:00 AM","6:20 PM","Click http://t.co/u0UNXaSf & help find the pay she doesn't get for equal work. Come to the Equal Pay Rally 4/17@Noon, Daley Plaza","1","0","2,842","http://twitter.com/ToniPreckwinkle/status/191697449285455873"
"2012 Apr 15 12:00:00 AM","7:00 PM","Click http://t.co/V1rt3Ici for ""4 Steps to Fight Pay Discrimination. Be sure to attend the Equal Pay Rally, 4/17@Noon, Daley Plaza","3","0","3,842","http://twitter.com/ToniPreckwinkle/status/191707626793476096"
"2012 Apr 16 12:00:00 AM","7:24 AM","We want you! We're launching the 1st-ever Cook County Government Fellowship Program. Click here to apply today: http://www.ccachicago.org/careers/cook-county-government-fellow","6","0","10,335","http://twitter.com/ToniPreckwinkle/status/191894915624607744"
"2012 Apr 16 12:00:00 AM","9:20 AM","Spend your summer with us! Apply for the Cook County Government Fellowship Program. http://www.ccachicago.org/careers/cook-county-government-fellow","1","0","3,048","http://twitter.com/ToniPreckwinkle/status/191924058567356416"
"2012 Apr 16 12:00:00 AM","1:52 PM","Cook County Partners With League of Women Voters to Launch New Transparency Measures http://blog.cookcountygov.com/2012/04/16/cook-county-partners-with-league-of-women-voters-to-launch-new-transparency-measures/","3","0","3,344","http://twitter.com/ToniPreckwinkle/status/191992374380081152"
"2012 Apr 16 12:00:00 AM","1:55 PM","Coming tomorrow: live streaming of Cook County Board meetings!","3","0","4,010","http://twitter.com/ToniPreckwinkle/status/191993345256595456"
"2012 Apr 16 12:00:00 AM","2:01 PM","Presser Video: http://youtu.be/LawOoWx6aZk  Preckwinkle, Orr, League of Women Voters Launch Transparency Measures-live streaming Board meetings!","1","0","2,906","http://twitter.com/ToniPreckwinkle/status/191994646426161154"
"2012 Apr 16 12:00:00 AM","2:02 PM","Watch meetings right here on Facebook! Click on the ""Watch Meetings"" button at above left. http://fb.me/zOzjogam","2","0","3,132","http://twitter.com/ToniPreckwinkle/status/191994954187419648"
"2012 Apr 16 12:00:00 AM","2:23 PM","Coming 4/17, streaming meeting video http://blog.cookcountyil.gov/secretarytotheboard/ @new website, http://blog.cookcountygov.com/ @web pages, http://www.facebook.com/pages/Cook-County-Blog/173076552730688?sk=app_211398918970712 on Facebook","0","0","2,715","http://twitter.com/ToniPreckwinkle/status/192000397282512898"
"2012 Apr 16 12:00:00 AM","3:01 PM","Tune into NBC Nightly News tonight at 5:30pm CST for an exciting story featuring the Forest Preserve District of Cook County!","1","0","2,878","http://twitter.com/ToniPreckwinkle/status/192009824400187393"
"2012 Apr 16 12:00:00 AM","3:03 PM","In 27 Minutes: The Forest Preserve will be featured on the NBC-5 News at 5:30 pm.  Be sure to watch!","0","0","2,715","http://twitter.com/ToniPreckwinkle/status/192010242953986048"
"2012 Apr 16 12:00:00 AM","3:03 PM","The Forest Preserve District of Cook County will be featured in a story on NBC Nightly News at 5:30pm CST... http://fb.me/1KK20KSzQ","1","0","2,715","http://twitter.com/ToniPreckwinkle/status/192010393873416198"
"2012 Apr 16 12:00:00 AM","3:13 PM","Photos from the first of 5 Spring Into Health! health fairs. http://fb.me/1i616g7Rp","0","0","2,907","http://twitter.com/ToniPreckwinkle/status/192012940990349313"
"2012 Apr 16 12:00:00 AM","3:32 PM","Preckwinkle and Habitat for Humanity Join Hands to Rebuild Communities http://ow.ly/1iOZby","2","0","16,369","http://twitter.com/ToniPreckwinkle/status/192017563239202817"
"2012 Apr 16 12:00:00 AM","6:15 PM","Pictures of the first of our Spring for Health! wellness healthfairs.  http://photos.cookcountyil.gov/Other/Spring-Into-Health-Healthfair/22484161_BZb4cB#!i=1798075464&k=hVjkcXR","1","0","3,080","http://twitter.com/ToniPreckwinkle/status/192058642512621568"
"2012 Apr 17 12:00:00 AM","4:08 AM","Coming 4/17, streaming meeting video http://blog.cookcountyil.gov/secretarytotheboard/ @new website, http://blog.cookcountygov.com/ @web pages, http://www.facebook.com/pages/Cook-County-Blog/173076552730688?sk=app_211398918970712 on Facebook","0","0","2,716","http://twitter.com/ToniPreckwinkle/status/192207811151802368"
"2012 Apr 17 12:00:00 AM","5:50 AM","It's a beautiful day to stand up for your rights to equal pay.  Join us today at Daley Plaza @Noon for the Equal Pay Rally","6","0","5,467","http://twitter.com/ToniPreckwinkle/status/192233495651811328"
"2012 Apr 17 12:00:00 AM","6:12 AM","The new Secretary to the Board's website is open. http://blog.cookcountyil.gov/secretarytotheboard/ Today's Cook County board meeting starts at 10 am.","0","1","2,716","http://twitter.com/ToniPreckwinkle/status/192239182062698498"
